Age,Gender,Sentence Type,education_level,Sentence_duration_months,Incident_count,violent_incidents_count,escape_incidents_count,Recidivism_score
58,Male,Kidnapping,Primary,155,12,1,2,70.0
65,Male,Kidnapping,Secondary,271,8,2,1,55.8
45,Male,Theft,Primary,41,16,3,4,83.3
19,Male,Sexual Offense,Secondary,203,10,3,3,94.3
32,Male,Robbery,Bachelor's,133,9,2,1,54.4
28,Male,Fraud,Literate,55,11,2,2,57.7
24,Male,Theft,Bachelor's,41,6,0,1,26.3
34,Male,Sexual Offense,Preparatory,192,7,0,1,65.7
23,Male,Vandalism,Secondary,26,7,1,1,52.5
54,Male,Theft,Secondary,21,15,6,5,85.0
23,Male,Cybercrime,Preparatory,35,7,0,1,43.8
58,Male,Burglary,Primary,54,11,4,2,68.0
35,Male,Drug Offense,Illiterate,93,6,0,1,44.0
28,Male,Burglary,Preparatory,29,14,0,4,66.8
58,Male,Burglary,Primary,61,12,2,2,53.0
21,Male,Theft,Primary,20,12,1,2,60.4
22,Male,Weapons Offense,Bachelor's,64,13,0,1,57.1
31,Male,Fraud,Bachelor's,70,8,1,0,32.3
27,Male,Burglary,Secondary,28,7,2,0,35.2
65,Male,Cybercrime,Preparatory,20,13,5,2,58.2
26,Male,Theft,Illiterate,10,8,0,2,51.3
27,Male,Vandalism,Preparatory,7,11,4,0,50.6
42,Male,Public Order,Preparatory,18,8,2,0,40.4
18,Male,Theft,Bachelor's,20,8,2,1,42.1
59,Male,Robbery,Literate,36,7,0,1,44.7
64,Female,Robbery,Preparatory,58,8,0,2,41.3
50,Female,Cybercrime,Primary,46,11,4,3,63.3
50,Male,Theft,Secondary,37,6,1,1,29.5
51,Female,Drug Offense,Preparatory,26,11,2,0,40.2
41,Female,Vandalism,Primary,6,11,2,2,59.2
33,Female,Weapons Offense,Illiterate,86,8,0,2,72.8
22,Female,Assault,Literate,108,7,0,0,58.8
48,Female,Burglary,Preparatory,50,9,3,0,48.9
45,Female,Weapons Offense,Secondary,49,7,1,0,42.7
63,Male,Public Order,Secondary,15,7,0,1,17.6
51,Male,Burglary,Illiterate,13,15,0,0,47.7
55,Male,Murder,Illiterate,210,8,2,1,73.8
32,Male,Theft,Primary,35,5,1,1,45.6
33,Male,Assault,Preparatory,116,11,0,2,64.0
54,Male,Burglary,Preparatory,38,6,1,0,21.6
30,Male,Drug Offense,Primary,64,6,2,0,51.5
47,Male,Theft,Secondary,44,5,0,1,35.6
24,Male,Sexual Offense,Secondary,123,9,2,2,74.9
33,Male,Assault,Literate,47,11,4,3,91.0
35,Male,Cybercrime,Illiterate,57,12,2,3,64.7
53,Male,Drug Offense,Secondary,13,15,0,4,65.9
