Prison_ID,Prison_Type,Security_Level,Capacity,Number_of_Blocks,Current_Occupancy,Admissions_Last_7_Days,Admissions_Last_30_Days,Pending_Admissions,Releases_Last_7_Days,Releases_Last_30_Days,Upcoming_Releases_30_Days,Upcoming_Releases_60_Days,Upcoming_Releases_90_Days,Transfers_In_Last_30_Days,Transfers_Out_Last_30_Days,Pending_Transfers_In,Pending_Transfers_Out,Average_Remaining_Sentence,Median_Remaining_Sentence,Occupancy_7_Days_Ago,Occupancy_30_Days_Ago,Occupancy_60_Days_Ago,Occupancy_90_Days_Ago,Occupancy_30_Days,Occupancy_60_Days,Occupancy_90_Days
PR000001,Women's,Low,342,2,260,45,227,4,38,184,179,353,530,2,2,1,0,15.0,12.1,255,223,195,149,304,319,376
PR000002,Remand,High,878,5,467,322,1342,18,207,1003,1197,2361,3505,4,8,0,1,3.5,2.7,388,138,0,0,585,718,891
PR000003,Women's,Low,121,1,89,17,69,0,21,96,97,202,312,0,1,1,4,3.8,3.1,99,125,131,157,70,38,31
PR000004,Juvenile,Medium,93,1,60,20,71,2,14,72,68,132,201,0,2,0,1,6.7,4.9,65,57,61,62,69,47,74
PR000005,Maximum Security,High,734,5,383,25,89,8,10,47,75,144,196,9,6,0,3,37.0,30.3,369,347,300,276,416,423,504
PR000006,Women's,Medium,300,3,259,75,245,2,55,249,261,525,827,2,1,1,2,13.3,8.6,259,267,266,265,268,294,295
PR000007,Women's,Medium,219,1,210,35,169,4,49,204,199,415,616,1,2,3,2,9.3,6.5,222,231,272,284,185,172,138
PR000008,Women's,Low,779,5,512,47,223,18,77,356,296,593,908,5,2,3,1,18.0,14.0,543,652,766,925,472,421,338
PR000009,Maximum Security,Medium,649,3,559,53,253,8,66,297,317,603,870,5,6,3,2,59.1,44.1,572,603,644,699,533,538,582
PR000010,Remand,Low,274,1,250,81,340,6,53,302,271,552,795,1,2,1,5,4.2,2.6,238,213,176,131,335,383,383
PR000011,Minimum Security,Medium,904,6,858,175,773,14,178,746,693,1320,1940,2,16,1,2,5.7,3.2,854,848,839,841,938,1073,1224
PR000012,Women's,Medium,689,4,678,96,417,6,101,478,412,820,1222,11,2,2,0,31.3,18.5,689,722,788,830,693,714,746
PR000013,Remand,Medium,1196,10,976,366,1614,15,441,1873,1630,3260,4859,11,3,5,0,1.6,1.3,1036,1219,1510,1554,923,887,860
PR000014,Women's,Low,798,6,498,117,496,7,124,532,626,1225,1817,2,7,1,2,0.5,0.3,502,539,577,615,363,247,130
PR000015,Remand,Medium,465,2,415,100,411,11,118,476,502,949,1406,9,7,3,0,2.4,1.7,438,480,553,587,336,369,349
PR000016,Minimum Security,Low,613,2,447,81,366,14,138,524,542,1108,1659,4,1,1,1,41.0,34.2,484,593,765,796,289,112,0
PR000017,Remand,High,815,5,707,146,752,20,182,772,672,1312,1940,6,3,2,1,1.2,0.8,712,730,701,743,789,886,1058
PR000018,Maximum Security,High,311,2,262,19,87,0,21,82,106,239,346,3,2,2,4,69.6,41.7,258,254,253,269,243,210,255
PR000019,Women's,Medium,628,4,546,98,419,9,126,531,567,1111,1675,6,3,1,1,14.8,13.3,571,644,771,816,369,232,104
PR000020,Remand,High,1081,10,545,200,866,12,142,647,756,1558,2344,3,10,2,0,4.0,2.6,493,338,120,0,652,704,789
PR000021,Women's,Low,192,1,163,42,162,2,43,183,188,374,554,3,0,3,3,48.4,29.5,166,182,186,204,159,135,130
PR000022,Minimum Security,Low,287,2,172,35,127,1,28,119,149,298,430,3,7,2,0,8.7,5.0,174,171,174,160,142,119,138
PR000023,Women's,Low,418,3,367,64,301,2,71,246,256,494,750,0,6,1,2,15.7,9.5,353,316,276,253,400,392,410
PR000024,Women's,Medium,585,4,383,63,261,13,104,403,402,848,1240,5,3,1,1,5.7,4.8,414,520,684,760,291,148,80
PR000025,Women's,Medium,146,1,107,30,106,2,23,100,92,183,273,0,0,2,1,5.2,4.3,105,97,93,106,131,120,150
PR000026,Minimum Security,Low,380,2,340,35,173,7,30,111,63,152,232,2,1,2,2,12.5,9.7,323,275,207,167,464,516,532
