Age,Gender,education_level,Prison_type,Prison_security_level,Block_security_level,Incidents_count,Violent_incident_count,escape_incident_count,days_since_last_incidence,total_disciplinary_days,Risk Behaviour
58,Male,Primary,Maximum Security,High,High,6,0,1,52,19,Medium
61,Male,Secondary,Juvenile,Medium,High,3,0,0,119,4,Low
50,Male,Secondary,Remand,Medium,Medium,3,0,0,229,9,Low
55,Female,Secondary,Maximum Security,High,High,5,1,0,216,12,Medium
39,Male,Secondary,Maximum Security,High,High,8,1,0,194,20,Medium
24,Male,Primary,Minimum Security,Low,Medium,3,0,0,235,5,Low
52,Female,Illiterate,Maximum Security,High,High,6,1,1,321,7,Medium
57,Female,Preparatory,Women's,High,High,14,0,0,338,36,Medium
32,Female,Bachelor's,Juvenile,Low,Low,2,0,0,232,8,Low
58,Male,Primary,Juvenile,Medium,Medium,4,0,0,349,16,Low
59,Male,Preparatory,Maximum Security,High,High,9,2,1,236,29,High
42,Female,Secondary,Maximum Security,High,High,4,1,0,166,15,Medium
21,Male,Primary,Maximum Security,High,High,5,0,0,108,22,Medium
54,Female,Primary,Women's,Medium,Medium,2,0,0,329,3,Low
47,Male,Secondary,Maximum Security,High,High,12,0,2,299,42,High
45,Female,Preparatory,Women's,High,Medium,4,0,0,260,10,Low
49,Male,Literate,Maximum Security,High,High,6,1,1,348,22,Medium
45,Male,Secondary,Remand,Medium,Medium,6,0,0,283,12,Low
18,Male,Bachelor's,Remand,Medium,Medium,4,1,0,174,10,Low
25,Male,Illiterate,Minimum Security,Low,Low,2,0,0,134,2,Low
50,Male,Literate,Juvenile,Medium,Low,8,3,2,259,28,High
56,Male,Literate,Maximum Security,High,Medium,9,1,2,271,30,High
18,Male,Literate,Remand,Medium,Low,4,0,0,157,13,Low
33,Female,Bachelor's,Maximum Security,High,High,10,2,3,248,33,High
22,Female,Preparatory,Women's,High,High,3,0,0,281,18,Low
28,Female,Preparatory,Maximum Security,High,High,10,2,1,276,32,High
64,Male,Preparatory,Remand,Medium,Medium,7,2,1,264,19,Medium
46,Male,Primary,Maximum Security,High,High,10,4,2,117,32,High
55,Male,Secondary,Maximum Security,High,High,11,1,2,16,38,High
39,Male,Secondary,Maximum Security,High,High,17,1,5,67,51,High
64,Female,Secondary,Women's,Medium,Medium,6,2,1,208,8,Medium
30,Male,Primary,Maximum Security,High,High,9,1,1,27,29,High
61,Male,Illiterate,Remand,Medium,Low,4,0,0,55,20,Medium
33,Male,Literate,Maximum Security,High,High,5,0,0,236,11,Medium
33,Female,Illiterate,Women's,Medium,Low,5,1,1,50,11,Medium
21,Male,Illiterate,Remand,High,High,4,1,0,121,10,Medium
28,Male,Bachelor's,Minimum Security,Low,Low,2,0,0,84,0,Low
42,Male,Bachelor's,Maximum Security,High,High,8,3,2,146,17,High
45,Male,Secondary,Remand,Medium,Medium,11,2,3,97,28,High
36,Male,Secondary,Maximum Security,High,High,7,2,0,160,17,Medium
21,Male,Bachelor's,Maximum Security,High,High,9,2,0,29,23,High
50,Male,Secondary,Maximum Security,High,High,10,0,1,120,31,Medium
43,Female,Primary,Maximum Security,High,High,7,2,1,317,16,High
23,Male,Preparatory,Minimum Security,Low,Low,1,0,0,104,13,Low
60,Male,Preparatory,Remand,Medium,Medium,6,2,1,161,22,Medium
22,Male,Secondary,Maximum Security,High,High,5,0,1,275,14,Medium
31,Male,Primary,Remand,High,High,5,0,1,145,7,Medium
28,Male,Primary,Minimum Security,Low,Low,5,0,1,334,7,Medium
51,Male,Primary,Maximum Security,High,High,5,1,1,68,16,High
34,Male,Secondary,Maximum Security,High,High,8,3,0,309,19,Medium
31,Male,Secondary,Remand,High,High,8,1,2,26,34,High
23,Male,Illiterate,Remand,High,High,9,1,1,134,23,High
28,Male,Preparatory,Juvenile,Medium,High,3,0,0,353,6,Low
27,Male,Secondary,Remand,High,High,5,1,1,157,14,Medium
41,Female,Secondary,Women's,Low,Low,3,0,0,107,9,Low
61,Male,Secondary,Maximum Security,High,Medium,10,0,2,208,35,High
57,Female,Primary,Juvenile,Medium,Medium,1,0,0,90,4,Low
44,Male,Primary,Maximum Security,High,Medium,10,3,1,342,27,High
65,Male,Secondary,Juvenile,Medium,Low,4,1,0,240,19,Low
32,Female,Primary,Maximum Security,High,Medium,7,2,0,116,21,Medium
32,Male,Primary,Maximum Security,High,Medium,4,1,0,142,20,Medium
40,Male,Postgraduate education,Remand,Medium,Low,6,1,0,59,24,Medium
34,Female,Primary,Maximum Security,High,High,7,1,0,222,22,Medium
40,Male,Secondary,Remand,Medium,Medium,6,0,0,295,11,Low
30,Male,Illiterate,Maximum Security,High,Medium,8,1,0,275,13,Medium
61,Male,Secondary,Remand,Medium,High,4,0,0,340,14,Low
39,Male,Literate,Remand,Low,Low,1,0,0,341,2,Low
44,Male,Secondary,Minimum Security,Low,Medium,2,0,0,340,4,Low
42,Female,Secondary,Remand,High,High,7,2,0,0,25,High
37,Male,Secondary,Minimum Security,Low,Low,1,0,0,238,5,Low
46,Male,Preparatory,Minimum Security,Low,Low,2,0,0,86,7,Low
60,Male,Secondary,Maximum Security,High,High,6,0,1,120,15,Medium
61,Male,Literate,Minimum Security,Low,Medium,2,0,0,243,13,Low
57,Male,Preparatory,Juvenile,Medium,High,7,2,0,356,23,Medium
42,Male,Secondary,Remand,High,High,4,1,0,54,10,Medium
45,Male,Secondary,Maximum Security,High,High,7,1,1,285,18,Medium
33,Female,Literate,Women's,High,High,11,3,2,271,36,High
53,Female,Bachelor's,Remand,Medium,Medium,6,2,0,258,13,Medium
45,Male,Bachelor's,Juvenile,Low,Low,2,0,0,132,0,Low
33,Male,Secondary,Juvenile,Medium,Medium,3,0,0,225,10,Low
22,Male,Primary,Remand,Low,Medium,1,0,0,77,14,Low
32,Male,Primary,Minimum Security,Low,Low,1,0,0,169,0,Low
52,Male,Bachelor's,Minimum Security,Low,Low,5,0,0,299,15,Low
62,Female,Secondary,Maximum Security,High,High,10,1,0,180,31,Medium
37,Female,Bachelor's,Juvenile,Medium,Medium,8,2,2,279,20,Medium
56,Female,Preparatory,Women's,High,High,10,4,1,199,30,High
39,Male,Secondary,Remand,Medium,Low,6,1,0,318,18,Medium
52,Male,Secondary,Maximum Security,High,High,8,2,2,329,19,High
45,Male,Illiterate,Maximum Security,High,High,11,1,0,108,37,High
47,Male,Preparatory,Minimum Security,Low,Low,1,0,0,215,0,Low
34,Male,Secondary,Juvenile,Medium,Low,5,0,1,114,13,Medium
59,Female,Illiterate,Maximum Security,High,High,7,0,0,126,18,Medium
30,Male,Primary,Juvenile,Medium,High,4,1,0,111,10,Medium
47,Male,Literate,Remand,Medium,Medium,5,1,0,58,18,Medium
28,Female,Literate,Women's,High,High,6,0,0,346,16,Medium
42,Male,Illiterate,Minimum Security,Low,Low,1,0,0,321,0,Low
33,Male,Bachelor's,Maximum Security,High,High,8,0,0,61,36,Medium
54,Male,Preparatory,Juvenile,Medium,Medium,4,1,0,174,6,Low
18,Male,Literate,Juvenile,Low,Low,2,0,0,235,3,Low
63,Male,Preparatory,Maximum Security,High,High,12,5,0,315,34,High
52,Male,Bachelor's,Juvenile,Medium,Medium,4,1,0,125,12,Low
23,Male,Secondary,Maximum Security,High,High,10,2,3,342,30,High
42,Male,Primary,Minimum Security,Low,Low,4,0,0,181,18,Low
34,Female,Secondary,Minimum Security,Low,Medium,2,0,0,5,0,Low
51,Female,Illiterate,Women's,Medium,Medium,6,2,1,123,11,Medium
62,Male,Preparatory,Minimum Security,Low,Medium,3,0,0,150,8,Low
32,Male,Secondary,Minimum Security,Low,Low,1,0,0,283,0,Low
51,Female,Secondary,Minimum Security,Low,Low,1,0,0,232,12,Low
35,Male,Secondary,Minimum Security,Low,Low,6,1,0,274,17,Low
62,Male,Preparatory,Maximum Security,High,High,6,0,0,268,5,Low
56,Male,Primary,Minimum Security,Low,Medium,3,0,0,91,6,Low
37,Male,Primary,Maximum Security,High,Medium,5,0,1,283,22,Medium
36,Male,Bachelor's,Remand,Medium,Low,8,1,2,293,27,Medium
